dataset,gene,mean_expr,sd_expr,max_expr,missingness,included,is_teff5,mean_bin,sd_bin,bin_id
IMmotion150,5S_rRNA,0.44226918719896,0.597155420180478,2.03458560709467,0,TRUE,FALSE,5,9,509
IMmotion150,5_8S_rRNA,3.62456159688894,0.0972802528225745,3.84082964084671,0,TRUE,FALSE,10,3,1003
IMmotion150,7SK,0.295679476760609,0.554233711526337,2.49567145693434,0,TRUE,FALSE,4,8,408
IMmotion150,A1BG,2.34367126043083,0.7053216029655,3.90446684784354,0,TRUE,FALSE,7,9,709
IMmotion150,A1BG-AS1,2.6791249435419,0.217708897710459,3.22492589716167,0,TRUE,FALSE,7,6,706
IMmotion150,A1CF,2.79909180283411,0.952513321382884,3.79491668410611,0,TRUE,FALSE,7,10,710
IMmotion150,A2M,4.06678190838851,0.0826574709639888,4.27218082618038,0,TRUE,FALSE,10,3,1003
IMmotion150,A2M-AS1,2.80471774783515,0.223380847964122,3.24547932535419,0,TRUE,FALSE,7,6,706
IMmotion150,A2ML1,1.04528899235405,0.996374395565594,3.57115860214165,0,TRUE,FALSE,6,10,610
IMmotion150,A2ML1-AS1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,A2ML1-AS2,0.00455189345979088,0.0605590037093064,0.805685142382985,0,TRUE,FALSE,1,2,102
IMmotion150,A2MP1,0.0386752832446129,0.214712966404593,2.16202418197496,0,TRUE,FALSE,3,5,305
IMmotion150,A3GALT2,0.652798333443477,0.628011057836658,2.16395766223677,0,TRUE,FALSE,5,9,509
IMmotion150,A4GALT,3.42160635223849,0.109527306859159,3.65518692477202,0,TRUE,FALSE,9,4,904
IMmotion150,A4GNT,1.04976300676695,0.805363429273249,2.83004172899348,0,TRUE,FALSE,6,10,610
IMmotion150,AA06,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AAAS,3.66438910878947,0.038238500216113,3.7805256312024,0,TRUE,FALSE,10,1,1001
IMmotion150,AACS,3.37193022267042,0.0802163036471053,3.66775231114913,0,TRUE,FALSE,9,3,903
IMmotion150,AACSP1,1.49931771632015,0.836359062701658,2.8721223048978,0,TRUE,FALSE,6,10,610
IMmotion150,AADAC,1.35560055533096,1.07306687646944,3.77180002132621,0,TRUE,FALSE,6,10,610
IMmotion150,AADACL2,0.445621670750999,0.765074038732281,3.3630531128346,0,TRUE,FALSE,5,10,510
IMmotion150,AADACL2-AS1,0.00532891375327587,0.0708965863550843,0.943217734329829,0,TRUE,FALSE,1,2,102
IMmotion150,AADACL3,0.183570299646414,0.544688584200901,3.58060532329727,0,TRUE,FALSE,4,8,408
IMmotion150,AADACL4,0.710175254883348,0.792475791307692,2.4687474628717,0,TRUE,FALSE,5,10,510
IMmotion150,AADACP1,0.0107698426190362,0.101859334651672,1.07492905426775,0,TRUE,FALSE,1,3,103
IMmotion150,AADAT,3.16802085096155,0.118378449861411,3.53474818278734,0,TRUE,FALSE,8,4,804
IMmotion150,AAGAB,3.45331262894035,0.0612814567805226,3.62740331401634,0,TRUE,FALSE,9,2,902
IMmotion150,AAK1,3.66349098852688,0.0388423123918576,3.80758029125437,0,TRUE,FALSE,10,1,1001
IMmotion150,AAMDC,3.11681772423284,0.132656410240105,3.45189152035181,0,TRUE,FALSE,8,4,804
