dataset,random_set_id,genes,HR_int,beta_int,p_value,direction_supportive,notes
JAVELIN,1,CCL19;SPTBN2;HMCN1;SNORD114-7;STEAP2,1.09992044522993,,0.382625624673841,FALSE,""
JAVELIN,2,CCL20;ANKRD18A;HIST1H2AL;CNDP1;MIR3674,1.0882431634193,,0.416380714153377,FALSE,""
JAVELIN,3,ALDH1L1;KCNIP4;HIST1H4L;ALOX15B;NAV3,1.15010154669657,,0.210869240524999,FALSE,""
JAVELIN,4,AOC1;FCGBP;RHOBTB3;APOC3;CH25H,1.14198734705553,,0.20872296227213,FALSE,""
JAVELIN,5,FGG;GLDC;PLAT;SLC5A8;LZTS3,1.28094720419324,,0.0263169442983317,FALSE,""
JAVELIN,6,SPAG17;MIRLET7D;CACNA2D1;KLK1;BIRC5,1.33939390468669,,0.00759983516236443,FALSE,""
JAVELIN,7,PIGR;MIR3145;CACNA1C;ALOX15B;SNORD45B,1.1892376069411,,0.0974049244592042,FALSE,""
JAVELIN,8,SMIM24;GCNT3;PLEKHA7;SCGB3A1;CD80,1.06696325413737,,0.52906268295801,FALSE,""
JAVELIN,9,SLPI;SORCS2;IL2RB;MMP12;UNC5C,0.829869561811622,,0.0923212104463607,TRUE,""
JAVELIN,10,C1orf186;HRH2;PPL;ITPKA;TMEM246,1.09256605159142,,0.398880609564548,FALSE,""
JAVELIN,11,OLFML2A;TRPC6;MIR4635;SYT8;SNORD96B,1.30021414226091,,0.0132855913596001,FALSE,""
JAVELIN,12,FMO3;SNORD114-13;ALDH1A3;SIGLEC12;WIPF3,0.938833487214148,,0.54087709992943,TRUE,""
JAVELIN,13,COL4A4;SNORD77;LZTS1;MIR190A;ZSWIM5,1.46952883014889,,0.000259666807044241,FALSE,""
JAVELIN,14,SBSPON;LIPC;ECM2;PITX1;LOC283278,1.22191004999398,,0.0621207417541236,FALSE,""
JAVELIN,15,ACADL;SDS;BMP2;MIR4469;SERTAD4,1.33163052404453,,0.00689044109737795,FALSE,""
JAVELIN,16,C8orf4;EXPH5;MYO1G;CFHR1;NEIL3,1.13428449097581,,0.228005274049094,FALSE,""
