dataset,teff_group,median_scope,tau_months,armA,armB,n_armA,events_armA,n_armB,events_armB,RMST_armA,RMST_armB,RMST_diff_A_minus_B,boot_CI_low,boot_CI_high,boot_positive_rate,B
IMmotion150,High,treatment_pair,12,AtezoBev,Sunitinib,46.0,25.0,43.0,30.0,9.07146708074534,7.320685914232181,1.7507811665131603,0.0200368523249807,3.4948717147049724,0.9765,2000
IMmotion150,High,treatment_pair,18,AtezoBev,Sunitinib,46.0,25.0,43.0,30.0,12.443483451157537,9.11198889525694,3.3314945559005977,0.5273942591694603,6.122601020696223,0.988,2000
IMmotion150,High,treatment_pair,24,AtezoBev,Sunitinib,46.0,25.0,43.0,30.0,15.311712957651046,10.700858162263131,4.610854795387915,0.7315236488127336,8.406965228146355,0.9895,2000
IMmotion150,Low,treatment_pair,12,AtezoBev,Sunitinib,42.0,33.0,46.0,25.0,7.068055555555556,8.10194695723684,-1.0338914016812852,-2.724307499642737,0.777279715254712,0.126,2000
IMmotion150,Low,treatment_pair,18,AtezoBev,Sunitinib,42.0,33.0,46.0,25.0,8.781969246031746,10.598154423921962,-1.8161851778902156,-4.499485008757776,1.057905984628417,0.103,2000
IMmotion150,Low,treatment_pair,24,AtezoBev,Sunitinib,42.0,33.0,46.0,25.0,10.186433531746031,12.56686549889527,-2.380431967149237,-6.147037950169548,1.5774014837959396,0.113,2000
IMmotion150,High_minus_Low_contrast,treatment_pair,12,AtezoBev,Sunitinib,,,,,,,2.7846725681944458,0.2885034137444944,5.310337840738818,0.9845,2000
IMmotion150,High_minus_Low_contrast,treatment_pair,18,AtezoBev,Sunitinib,,,,,,,5.147679733790813,0.9963036872084724,9.139201115972742,0.993,2000
IMmotion150,High_minus_Low_contrast,treatment_pair,24,AtezoBev,Sunitinib,,,,,,,6.991286762537152,1.2434651162399566,12.638246593120838,0.9925,2000
JAVELIN Renal 101,High,treatment_pair,12,Avelumab+Axitinib,Sunitinib,170.0,70.0,193.0,105.0,9.231006149218176,7.540813842193466,1.6901923070247102,0.8845858730231462,2.5785799953071957,1.0,2000
JAVELIN Renal 101,High,treatment_pair,18,Avelumab+Axitinib,Sunitinib,170.0,70.0,193.0,105.0,12.092881258530747,9.258415678506312,2.8344655800244354,1.4390346050951703,4.292606037765609,1.0,2000
JAVELIN Renal 101,High,treatment_pair,24,Avelumab+Axitinib,Sunitinib,170.0,70.0,193.0,105.0,14.70142410167595,10.874347552276262,3.827076549399688,1.736365585623929,5.999380394365419,1.0,2000
JAVELIN Renal 101,Low,treatment_pair,12,Avelumab+Axitinib,Sunitinib,184.0,87.0,179.0,96.0,8.74834747359724,8.061208208228528,0.6871392653687121,-0.1792795907290854,1.5351943543464717,0.938,2000
JAVELIN Renal 101,Low,treatment_pair,18,Avelumab+Axitinib,Sunitinib,184.0,87.0,179.0,96.0,11.00898358331006,9.665204476062234,1.3437791072478262,-0.1693727615074473,2.7839420370808723,0.9625,2000
JAVELIN Renal 101,Low,treatment_pair,24,Avelumab+Axitinib,Sunitinib,184.0,87.0,179.0,96.0,12.856267579924346,10.315356622618127,2.5409109573062167,0.1853345327785767,4.329708687238878,0.985,2000
JAVELIN Renal 101,High_minus_Low_contrast,treatment_pair,12,Avelumab+Axitinib,Sunitinib,,,,,,,1.0030530416559982,-0.2279217787215466,2.2470037738426387,0.951,2000
JAVELIN Renal 101,High_minus_Low_contrast,treatment_pair,18,Avelumab+Axitinib,Sunitinib,,,,,,,1.4906864727766092,-0.5723480511400367,3.61042132616159,0.9255,2000
JAVELIN Renal 101,High_minus_Low_contrast,treatment_pair,24,Avelumab+Axitinib,Sunitinib,,,,,,,1.2861655920934716,-1.3718178573006827,4.712517396146319,0.845,2000
